"id";"nombre_apellido"
35;"Adeel Akhtar"
11;"Aidan Gallagher"
66;"Amy Adams"
72;"Angus Macfadyen"
75;"Anna Kendrick"
13;"Anya Taylor-Joy"
60;"Ben Affleck"
40;"Brett Cullen"
21;"Camila Mendes"
57;"Candice Patton"
2;"Carl Weathers"
55;"Carlos Valdes"
20;"Casey Cott"
17;"Chloe Pirrie"
4;"Chris Bartlett"
43;"Chris Evans"
45;"Chris Hemsworth"
25;"Claire Fox"
68;"Connie Nielsen"
76;"Daniel Dae Kim"
56;"Danielle Panabaker"
8;"David Castañeda"
12;"Elliot Page"
48;"Emilia Clarke"
9;"Emmy Raver-Lampman"
74;"Enver Gjokaj"
64;"Ezra Miller"
39;"Frances Conroy"
62;"Gal Gadot"
6;"Giancarlo Esposito"
54;"Grant Gustin"
15;"Harry Melling"
29;"Helena Bonham Carter"
31;"Henry Cavill"
18;"Janina Elkin"
63;"Jason Momoa"
67;"Jeremy Irons"
47;"Jeremy Renner"
58;"Jesse L. Martin"
36;"Joaquin Phoenix"
73;"Jorja Fox"
70;"Kate Walsh"
51;"Kit Harington"
49;"Lena Headey"
19;"Lili Reinhart"
34;"Louis Partridge"
24;"Mädchen Amick"
23;"Madelaine Petsch"
22;"Marisol Nichols"
44;"Mark Ruffalo"
27;"Matt Smith"
30;"Millie Bobby Brown"
69;"Miranda Cosgrove"
3;"Misty Rosas"
16;"Moses Ingram"
53;"Nikolaj Coster-Waldau"
26;"Olivia Colman"
71;"Omar Epps"
1;"Pedro Pascal"
52;"Peter Dinklage"
65;"Ray Fisher"
5;"Rio Hackford"
37;"Robert De Niro"
42;"Robert Downey Jr."
10;"Robert Sheehan"
32;"Sam Claflin"
46;"Scarlett Johansson"
77;"Shamier Anderson"
41;"Shea Whigham"
50;"Sophie Turner"
14;"Thomas Brodie-Sangster"
59;"Tom Cavanagh"
7;"Tom Hopper"
78;"Toni Collette"
28;"Vanesa Kirby"
38;"Zazie Beetz"
